code,first_name,second_name,web_name,id,understat
57647,Lyle,Taylor,Taylor,380,0
58771,Jack,Colback,Colback,381,767
102836,Brice,Samba,Samba,382,0
166325,Carlos,Ribeiro Dias,Cafú,383,0
168172,Joe,Lolley,Lolley,384,6139
168281,Scott,McKenna,McKenna,385,10757
173399,Mohamed,Dräger,Dräger,386,0
204968,Ryan,Yates,Yates,387,0
208912,Joe,Worrall,Worrall,388,10756
209035,Jonathan,Panzo,Panzo,389,0
209925,Xande,Nascimento da Costa Silva,Xande Silva,390,7312
217331,Sam,Surridge,Surridge,391,5602
221403,Richie,Laryea,Laryea,392,0
242885,Loïc,Mbe Soh,Mbe Soh,393,0
242898,Brennan,Johnson,Johnson,394,6424
244930,Alex,Mighten,Mighten,395,10761
437476,Braian,Ojeda Rodríguez,Ojeda,396,0
210156,Taiwo,Awoniyi,Awoniyi,397,7814
172649,Dean,Henderson,Henderson,398,7702
437753,Giulian,Biancone,Biancone,399,0
20467,Theo,Walcott,Walcott,400,503
58376,Alex,McCarthy,McCarthy,401,635
78056,Oriol,Romeu Vidal,Romeu,402,842
83283,Nathan,Redmond,Redmond,403,790
88900,Jack,Stephens,Stephens,404,1735
91047,Stuart,Armstrong,S.Armstrong,405,6893
96787,Mohamed,Elyounoussi,Elyounoussi,406,6894
101178,James,Ward-Prowse,Ward-Prowse,407,843
155511,Adam,Armstrong,A.Armstrong,408,4419
158534,Kyle,Walker-Peters,Walker-Peters,409,885
171771,Jan,Bednarek,Bednarek,410,6042
200439,Che,Adams,Adams,411,7700
203389,Nathan,Tella,Tella,412,8456
212721,Lyanco,Silveira Neves Vojnovic,Lyanco,413,6252
213482,Yan,Valery,Valery,414,7280
214466,Will,Smallbone,Smallbone,415,8224
240143,Ibrahima,Diallo,Diallo,416,6736
244560,Romain,Perraud,Perraud,417,6500
431131,Moussa,Djenepo,Djenepo,418,7701
441191,Tino,Livramento,Livramento,419,9512
450527,Mohammed,Salisu,Salisu,420,6923
200428,Mateusz,Lis,Lis,421,0
456350,Gavin,Bazunu,Bazunu,422,10765
477386,Armel,Bella-Kotchap,Bella-Kotchap,423,0
20310,Willy,Caballero,Caballero,424,624
37915,Hugo,Lloris,Lloris,425,637
40383,Fraser,Forster,Forster,426,831
78830,Harry,Kane,Kane,427,647
85971,Son,Heung-min,Son,428,453
87835,Matt,Doherty,Doherty,429,6852
93264,Eric,Dier,Dier,430,643
95715,Lucas,Rodrigues Moura da Silva,Lucas Moura,431,3293
115556,Ben,Davies,Davies,432,660
132015,Pierre-Emile,Højbjerg,Højbjerg,433,343
157668,Harry,Winks,Winks,434,971
173904,Davinson,Sánchez,Sánchez,435,6249
184349,Ryan,Sessegnon,R.Sessegnon,436,6837
194252,Steven,Bergwijn,Bergwijn,437,8300
199249,Sergio,Reguilón,Reguilón,438,7187
199584,Japhet,Tanganga,Tanganga,439,8222
202993,Rodrigo,Bentancur,Bentancur,440,6108
209042,Oliver,Skipp,Skipp,441,7198
214225,Joe,Rodon,Rodon,442,6377
221632,Cristian,Romero,Romero,443,7218
227127,Yves,Bissouma,Bissouma,444,5609
241157,Emerson,Leite de Souza Junior,Emerson Royal,445,7430
445044,Dejan,Kulusevski,Kulusevski,446,6691
490145,Dane,Scarlett,Scarlett,447,9332
45034,Ivan,Perišić,Perišić,448,448
448791,Harvey,White,White,449,7298
482442,Pape Matar,Sarr,Sarr,450,9021
214572,Brandon,Austin,Austin,451,0
496179,Alfie,Devine,Devine,452,0
447235,Troy,Parrott,Parrott,453,8145
212319,Richarlison,de Andrade,Richarlison,454,6026
37096,Lukasz,Fabianski,Fabianski,455,706
40669,Angelo,Ogbonna,Ogbonna,456,528
55459,Aaron,Cresswell,Cresswell,457,534
57531,Michail,Antonio,Antonio,458,531
60232,Craig,Dawson,Dawson,459,804
86934,Manuel,Lanzini,Lanzini,460,535
